L:lblSubtitle	Optimizarea și controlul Windows — PcFixPro Italia
L:tabPerf	Performanță
L:tabPrivacy	Confidențialitate
L:tabUi	Interfață
L:tabNet	Rețea
L:tabStorage	Stocare
L:ttlLatency	LATENȚĂ ȘI PLANIFICARE
L:chkMMCSS	MMCSS — reacție mai bună în jocuri și audio
L:chkPriority	Planificare CPU — prioritate pentru prim-plan (0x26)
L:chkKernelMem	Memoria nucleului — fără paginarea executivului
L:chkKernelDpc	Nucleu și latență DPC
L:chkTimer	Temporizator de sistem — precizie maximă
L:chkPowerThrottling	Power Throttling — dezactivează
L:chkUSBSuspend	Suspendare selectivă USB — dezactivează
L:chkNtfsPerf	NTFS — fără data ultimului acces, cache mare
L:ttlRam	MEMORIE
L:chkRamTweak	Prag de separare SvcHost (după RAM)
L:lblRamInstalled	RAM instalată:
L:lblRamHint	Detectată automat la pornire; se poate schimba manual.
L:ttlGraphics	GRAFICĂ ȘI JOCURI
L:chkGameMode	Mod joc — activează
L:chkFSO	Optimizări pe ecran complet (FSO) — dezactivează
L:chkGameDVR	Game DVR și înregistrare Xbox — dezactivează
L:chkHAGS	Planificare GPU accelerată hardware — activează
L:chkVisualFX	Efecte vizuale — ajustare pentru performanță
L:chkApplyMPO	Aplică setarea Multiplane Overlay (MPO)
L:mpoOn	Activat (implicit în Windows)
L:mpoOff	Dezactivat (rezolvă sacadări și pâlpâiri)
L:mpoCompat	Activat, compatibil (2 planuri)
L:ttlRisky	AVANSAT — REDUC SECURITATEA
L:lblRiskyHint	Excluse din «Selectează tot». Activează-le doar dacă știi urmările.
L:chkVBS	VBS / Integritatea memoriei — dezactivează
L:chkMitigations	Protecții de sistem împotriva exploit-urilor — dezactivează
L:tabPower	Alimentare
L:tabGpu	Placă video
L:ttlPlans	SCHEME DE ALIMENTARE
L:btnRefreshPlans	Reîmprospătează
L:btnRemoveTestPlans	Elimină schemele de test
L:ttlSleep	ECONOMIE ȘI REPAUS
L:lblSleepHint	Se aplică cu butonul Aplică.
L:ttlPlanWarn	ÎNAINTE DE A ÎNCERCA
L:lblPlanWarn	Schemele din «De testat» provin de la terți. Încearcă una pe rând și revino la Echilibrat dacă computerul devine instabil.
L:ttlGpuDetected	PLACĂ DETECTATĂ
L:btnDetectGpu	Reîmprospătează
L:lblGpuHint	Aici se curăță driverul deja instalat: telemetrie, servicii suplimentare și porniri automate.
L:ttlGpuCommon	SETĂRI COMUNE
L:chkGpuTdr	TDR — timp de așteptare al driverului la 10 s
L:chkGpuMsi	Întreruperi MSI pentru placa video — activează
L:lblNvidiaHint	Omis dacă placa nu este NVIDIA.
L:chkNvTelemetry	Telemetrie NVIDIA — dezactivează
L:chkNvGfe	GeForce Experience în fundal — dezactivează
L:chkNvPerfMode	Gestionarea energiei GPU — performanță maximă
L:chkNvUpdates	Verificarea actualizărilor NVIDIA — dezactivează
L:lblAmdHint	Omis dacă placa nu este AMD.
L:chkAmdUx	Programul AMD de experiență a utilizatorului — dezactivează
L:chkAmdBloat	Servicii și porniri automate AMD — dezactivează
L:chkIntelBloat	Servicii suplimentare Intel Graphics — dezactivează
L:lblUiScale	Scara interfeței
L:ttlShader	CACHE SHADER
L:lblShaderHint	Shaderele deja compilate de jocuri. Golirea eliberează spațiu și rezolvă artefacte după schimbarea driverului. Prima pornire a fiecărui joc va fi mai lentă, apoi revine la normal.
L:btnShaderScan	Calculează spațiul ocupat
L:btnShaderClear	Golește cache-ul de shadere
L:ttlStart	MENIUL START
L:chkStartMorePins	Mai mult loc pentru fixate, mai puțin pentru recomandări
L:chkStartHideRec	Secțiunea «Recomandate» — ascunde
L:chkStartNoWeb	Site-uri recomandate în Start — elimină
L:chkStartNoAccount	Notificări de cont în Start — elimină
L:ttlFeat	FUNCȚII ASCUNSE
L:lblFeatHint	Activează sau dezactivează o funcție Windows după număr, ca ViVeTool. Numerele se schimbă la fiecare build: ia-le dintr-o sursă potrivită cu al tău.
L:featOn	Activează
L:featOff	Dezactivează
L:featReset	Revino la implicit
L:lblFeatId	Numărul funcției
L:btnFeatApply	Aplică
L:btnFeatList	Afișează modificările active
L:chkFastStartup	Pornire rapidă — dezactivează
L:chkHibernation	Hibernare — dezactivează (eliberează spațiu pe C:)
L:chkS0Sleep	Conexiune la rețea în standby modern — dezactivează
L:chkS3Sleep	Repaus clasic S3 — forțează
L:ttlTelemetry	TELEMETRIE ȘI URMĂRIRE
L:chkTelemetry	Telemetrie și DiagTrack — dezactivează
L:chkTelemetryTasks	Activități programate de telemetrie — dezactivează
L:chkActivityHistory	Istoricul activităților — dezactivează
L:chkLocationTracking	Urmărirea locației — dezactivează
L:chkAdvertisingID	ID publicitar — dezactivează
L:chkTailoredExp	Experiențe personalizate — dezactivează
L:chkFeedback	Solicitări de feedback — dezactivează
L:chkErrorReporting	Raportarea erorilor Windows — dezactivează
L:chkInkingTyping	Personalizarea scrisului și tastării — dezactivează
L:chkWiFiSense	Wi-Fi Sense — dezactivează
L:ttlContent	SUGESTII ȘI CONȚINUT
L:chkConsumerFeatures	Aplicații sugerate și instalare automată — blochează
L:chkStoreSearch	Sugestii de căutare Microsoft Store — dezactivează
L:chkSuggestedContent	Conținut sugerat în Setări — dezactivează
L:chkLockScreenAds	Spotlight și reclame pe ecranul de blocare — dezactivează
L:chkStartBing	Căutare Bing în meniul Start — dezactivează
L:chkStartRecs	Recomandări în meniul Start — dezactivează
L:chkStartTracking	Aplicații folosite des și documente recente — nu urmări
L:chkFolderDiscovery	Detectarea tipului de folder în Explorer — dezactivează
L:ttlMsApps	APLICAȚII MICROSOFT
L:chkWindowsAI	Copilot, Recall și AI Windows — dezactivează
L:chkEdgeDebloat	Microsoft Edge — curățare
L:chkOneDriveRemove	OneDrive — dezactivează sincronizarea
L:chkOutlookNew	Trecerea automată la noul Outlook — blochează
L:ttlServices	SERVICII ȘI COMPONENTE
L:chkServicesManual	Servicii neesențiale — pe Manual
L:chkDeliveryOpt	Optimizarea livrării — dezactivează
L:chkBitLocker	Criptare automată BitLocker — dezactivează
L:chkWPBT	Tabelul binar al producătorului (WPBT) — dezactivează
L:chkBackgroundApps	Aplicații în fundal — dezactivează
