g.exp.desk	Iconos del escritorio
exp.icoPc	Este equipo en el escritorio
exp.icoBin	Papelera en el escritorio
exp.icoUser	Carpeta de usuario en el escritorio
exp.icoCpl	Panel de control en el escritorio
exp.icoNet	Red en el escritorio
exp.lnkSuffix	Nombre de los accesos directos nuevos
exp.lnkSuffix#keep	Con «- Acceso directo»
exp.lnkSuffix#drop	Sin sufijo
exp.lnkArrow	Flecha en los accesos directos
exp.lnkArrow#show	Visible
exp.lnkArrow#hide	Oculta
g.exp.ctx	Menú contextual
exp.ctxTerminal	Abrir en Terminal
exp.ctxOwner	Tomar posesión
exp.ctxSfc	Comprobar archivos del sistema (SFC)
exp.ctxDism	Reparar imagen de Windows (DISM)
exp.ctxExt	Mostrar u ocultar extensiones
g.exp.gen	General
exp.recent	Archivos recientes en Inicio
exp.frequent	Carpetas frecuentes en Inicio
exp.office	Archivos de Office.com en Inicio
exp.syncAds	Avisos de servicios en la nube en el Explorador
exp.sepProc	Carpetas en un proceso aparte
exp.persist	Reabrir carpetas al iniciar sesión
exp.checkSel	Casillas para seleccionar elementos
exp.menus	Mostrar siempre la barra de menús
exp.compact	Vista compacta
exp.fullPath	Ruta completa en la barra de título
exp.statusBar	Barra de estado
exp.infoTip	Descripción emergente al pasar el ratón
exp.folderSize	Tamaño de carpeta en la descripción
exp.preview	Vistas previas en el panel de vista previa
exp.iconsOnly	Solo iconos, sin miniaturas
exp.typeOverlay	Icono del programa en las miniaturas
exp.superHidden	Archivos protegidos del sistema operativo
exp.emptyDrives	Ocultar unidades vacías
exp.driveLetters	Letras de unidad
exp.ntfsColor	Archivos comprimidos y cifrados en color
exp.mergeAsk	Preguntar antes de combinar carpetas con el mismo nombre
exp.sharingWiz	Asistente para compartir
exp.lnkExt	Extensión .lnk de los accesos directos
exp.iconCache	Caché de iconos
exp.iconCache#def	Predeterminada
exp.iconCache#4096	Grande (4096 iconos)
exp.iconCache#8192	Muy grande (8192 iconos)
exp.thumbClean	Limpieza automática de miniaturas
g.exp.thispc	Carpetas en Este equipo
exp.pcDesktop	Escritorio
exp.pcDocs	Documentos
exp.pcDown	Descargas
exp.pcMusic	Música
exp.pcPics	Imágenes
exp.pcVideos	Vídeos
g.exp.nav	Panel de navegación
exp.navHome	Inicio
exp.navGallery	Galería
exp.navLibs	Bibliotecas
exp.navExpand	Expandir hasta la carpeta abierta
exp.navAll	Mostrar todas las carpetas
exp.navCloud	Estado de sincronización siempre visible
exp.navDupDrives	Unidades extraíbles duplicadas
g.exp.dev	Dispositivos
exp.autoplay	Reproducción automática
exp.lighting	Iluminación dinámica
exp.lightingApp	Las apps en primer plano controlan los LED
exp.printer	Windows elige la impresora predeterminada
exp.pwdless	Inicio de sesión automático en Cuentas de usuario
g.task.start	Menú Inicio
task.allApps	Vista de Todas las apps
task.allApps#cat	Por categoría
task.allApps#grid	Cuadrícula
task.allApps#list	Lista
task.recentApps	Apps agregadas recientemente
task.frequentApps	Apps más usadas
task.recentDocs	Archivos recomendados y abiertos recientemente
task.startLock	Bloquear en el menú de cuenta
g.task.bar	Barra de tareas
task.autoHide	Ocultar automáticamente la barra de tareas
task.badges	Distintivos en los iconos
task.flashing	Iconos parpadeantes
task.allDisplays	Barra en todas las pantallas
task.mmMode	Botones en otras pantallas
task.mmMode#all	En todas las barras
task.mmMode#main	Barra principal y donde está abierta
task.mmMode#open	Solo donde está abierta
task.share	Compartir una ventana desde la barra
task.cornerDesk	Esquina para mostrar el escritorio
task.combine	Combinar botones
task.combine#always	Siempre, ocultar etiquetas
task.combine#full	Cuando la barra está llena
task.combine#never	Nunca
task.combineMm	Combinar en otras pantallas
task.combineMm#always	Siempre, ocultar etiquetas
task.combineMm#full	Cuando la barra está llena
task.combineMm#never	Nunca
task.small	Botones pequeños
task.small#always	Siempre
task.small#full	Cuando la barra está llena
task.small#never	Nunca
task.copilot	Botón de Copilot
task.bell	Campana de notificaciones
task.hover	Retardo de la vista previa
task.hover#1	Instantáneo
task.hover#100	Rápido (100 ms)
task.hover#200	Medio (200 ms)
task.hover#def	Predeterminado (400 ms)
g.notif.toast	Notificaciones
notif.toast	Notificaciones de las apps
notif.sound	Sonido de las notificaciones
notif.lock	Notificaciones en la pantalla de bloqueo
notif.lockVoip	Recordatorios y llamadas en la pantalla de bloqueo
g.notif.tips	Sugerencias de Windows
notif.welcome	Presentación tras las actualizaciones
notif.scoobe	Invitaciones a terminar la configuración
notif.tipsUse	Consejos al usar Windows
g.notif.sys	Avisos del sistema
notif.capAccess	Aviso cuando una app usa el micrófono o la ubicación
notif.startupApp	Aviso de nuevas apps de inicio
notif.locPrompt	Aviso cuando las apps piden la ubicación
notif.dst	Aviso de cambio de hora
notif.secMaint	Seguridad y mantenimiento
notif.defender	Notificaciones de Seguridad de Windows
g.notif.sound	Sonidos
notif.bootSound	Sonido de inicio de Windows
notif.ducking	Durante las llamadas
notif.ducking#mute	Silenciar otros sonidos
notif.ducking#80	Bajar otros sonidos un 80%
notif.ducking#50	Bajar otros sonidos un 50%
notif.ducking#none	No hacer nada
notif.voiceAct	Activación por voz de las apps
notif.accSounds	Sonidos de activación de accesibilidad
notif.accWarn	Sonidos de aviso de accesibilidad
g.notif.access	Atajos de accesibilidad
notif.filterKeys	Teclas filtro (Mayús derecha 8 segundos)
notif.toggleKeys	Teclas de alternancia (Bloq Num 5 segundos)
notif.mouseKeys	Teclas del mouse (Alt+Mayús+Bloq Num)
notif.contrast	Contraste alto (Alt+Mayús+Impr Pant)
notif.narrator	Narrador (Win+Ctrl+Entrar)
notif.hoverTime	Tiempo de espera del puntero
notif.hoverTime#10	Instantáneo (10 ms)
notif.hoverTime#100	Rápido (100 ms)
notif.hoverTime#200	Medio (200 ms)
notif.hoverTime#def	Predeterminado (400 ms)
g.game.gfx	Gráficos y juegos
game.windowed	Optimizaciones para juegos en ventana
game.vrr	Frecuencia variable para juegos no compatibles
game.autoHdr	HDR automático
game.gbController	Game Bar con el botón Xbox del mando
game.gbTips	Consejos al abrir Game Bar
game.jpegFull	Fondo de pantalla a calidad completa
game.startDelay	Retardo de las apps de inicio
game.altTab	Alt+Tab muestra
game.altTab#open	Solo ventanas abiertas
game.altTab#five	Ventanas y 5 pestañas recientes
game.altTab#three	Ventanas y 3 pestañas recientes
game.altTab#all	Ventanas y todas las pestañas
g.game.vfx	Efectos visuales
game.fxControls	Animar controles dentro de las ventanas
game.fxMinMax	Animación al minimizar y maximizar
game.fxTaskbar	Animaciones de la barra de tareas
game.fxPeek	Vista previa del escritorio (Peek)
game.fxMenuFade	Atenuar o deslizar menús
game.fxTipFade	Atenuar o deslizar descripciones
game.fxItemFade	Atenuar elementos de menú tras el clic
game.fxCursorShadow	Sombra del puntero
game.fxWinShadow	Sombras bajo las ventanas
game.fxCombo	Abrir cuadros combinados deslizando
game.fxSmoothList	Desplazamiento suave de listas
game.fxSelRect	Rectángulo de selección translúcido
