chkMMCSS	Dà la precedenza a giochi e audio quando il computer è sotto carico. Meno scatti e audio più pulito.	Gives games and audio priority when the computer is under load. Fewer stutters and cleaner audio.
chkPriority	Riserva più tempo del processore alla finestra che stai usando. Il programma in primo piano risponde più in fretta.	Gives more processor time to the window you are using. The foreground program responds faster.
chkKernelMem	Tiene in memoria le parti centrali di Windows invece di spostarle su disco. Sistema più reattivo con molta RAM.	Keeps the core of Windows in memory instead of moving it to disk. A snappier system when you have plenty of RAM.
chkKernelDpc	Riduce i ritardi nella gestione di schede e periferiche. Utile contro micro-scatti e crepitii audio.	Reduces delays in handling cards and devices. Helps against micro-stutter and audio crackles.
chkTimer	Fa scattare i timer di sistema con più precisione. Tempi di risposta più regolari nei giochi.	Makes system timers fire more precisely. More consistent response times in games.
chkPowerThrottling	Impedisce a Windows di rallentare i programmi in background per risparmiare energia. Prestazioni costanti, consumi un po' più alti.	Stops Windows from slowing down background programs to save power. Steady performance, slightly higher power draw.
chkUSBSuspend	Tiene sempre attive le porte USB. Evita mouse, tastiere e schede audio che si scollegano o rispondono in ritardo.	Keeps USB ports always active. Prevents mice, keyboards and audio interfaces from dropping out or lagging.
chkNtfsPerf	Il disco smette di annotare ogni lettura di file e usa più memoria per i dati di sistema. Meno scritture e accessi più veloci.	The disk stops recording every file read and uses more memory for system data. Fewer writes and faster access.
chkRamTweak	Raggruppa i servizi di Windows in funzione della RAM installata. Meno processi aperti e memoria usata meglio.	Groups Windows services according to the installed RAM. Fewer running processes and better memory use.
chkGameMode	Attiva la Modalità gioco: Windows mette in secondo piano aggiornamenti e attività mentre giochi.	Turns on Game Mode: Windows holds back updates and background work while you play.
chkFSO	Fa girare i giochi a schermo intero in modo esclusivo. Può ridurre la latenza di input in alcuni titoli.	Runs full-screen games in true exclusive mode. Can reduce input latency in some titles.
chkGameDVR	Spegne la registrazione in background della Xbox Game Bar. Libera risorse e fa guadagnare qualche fotogramma.	Turns off Xbox Game Bar background recording. Frees resources and gains a few frames.
chkHAGS	Lascia che la scheda video gestisca da sola la propria memoria. Latenza più bassa sulle schede recenti.	Lets the graphics card manage its own memory. Lower latency on recent cards.
chkVisualFX	Riduce animazioni ed effetti grafici di Windows. Interfaccia più scattante sui PC meno potenti.	Reduces Windows animations and visual effects. A snappier interface on slower PCs.
chkApplyMPO	Applica la scelta del menu sottostante per gli overlay multipiano. Disattivarli risolve spesso sfarfallii e scatti con più monitor.	Applies the choice in the menu below for multiplane overlays. Turning them off often fixes flicker and stutter with multiple monitors.
chkVBS	Spegne la virtualizzazione di sicurezza di Windows. Più fotogrammi nei giochi, ma meno protezione contro il malware.	Turns off Windows virtualization-based security. More frames in games, but less protection against malware.
chkMitigations	Toglie alcune protezioni contro gli exploit. Guadagno di prestazioni, ma il sistema diventa più esposto.	Removes some protections against exploits. A performance gain, but the system becomes more exposed.
chkTelemetry	Blocca l'invio a Microsoft dei dati di utilizzo. Più privacy e meno attività in background.	Stops usage data from being sent to Microsoft. More privacy and less background activity.
chkTelemetryTasks	Ferma le attività pianificate che raccolgono dati di utilizzo. Meno lavoro nascosto a computer acceso.	Stops the scheduled tasks that collect usage data. Less hidden work while the computer is on.
chkActivityHistory	Windows smette di registrare cosa apri e quando. Più privacy.	Windows stops recording what you open and when. More privacy.
chkLocationTracking	Spegne la localizzazione del dispositivo. Le app non sanno più dove ti trovi.	Turns off device location. Apps no longer know where you are.
chkAdvertisingID	Toglie il codice che le app usano per mostrarti pubblicità mirata.	Removes the code apps use to show you targeted ads.
chkTailoredExp	Microsoft smette di usare i tuoi dati per suggerimenti e pubblicità personalizzati.	Microsoft stops using your data for personalized tips and ads.
chkFeedback	Niente più finestre che chiedono la tua opinione su Windows.	No more pop-ups asking for your opinion on Windows.
chkErrorReporting	Gli errori dei programmi non vengono più inviati a Microsoft. Meno attività dopo un blocco.	Program errors are no longer sent to Microsoft. Less activity after a crash.
chkInkingTyping	Windows smette di imparare da quello che scrivi e digiti. Più privacy.	Windows stops learning from what you write and type. More privacy.
chkWiFiSense	Impedisce la condivisione automatica delle reti Wi-Fi e la connessione a hotspot sconosciuti.	Prevents automatic Wi-Fi network sharing and connecting to unknown hotspots.
chkConsumerFeatures	Impedisce a Windows di installare da solo app e giochi promozionali.	Stops Windows from installing promotional apps and games on its own.
chkStoreSearch	Toglie i suggerimenti web e dello Store dalle ricerche. Risultati più puliti e veloci.	Removes web and Store suggestions from searches. Cleaner, faster results.
chkSuggestedContent	Niente consigli e promozioni dentro Impostazioni e nel sistema.	No tips and promotions inside Settings and around the system.
chkLockScreenAds	Toglie immagini a rotazione, consigli e pubblicità dalla schermata di blocco.	Removes rotating images, tips and ads from the lock screen.
chkStartBing	La ricerca nel menu Start cerca solo sul computer, non su internet. Più veloce e più privata.	Start menu search looks only on the computer, not the web. Faster and more private.
chkStartRecs	Toglie i suggerimenti di app e file dal menu Start.	Removes app and file suggestions from the Start menu.
chkStartTracking	Windows smette di tenere l'elenco delle app più usate e dei documenti recenti.	Windows stops keeping a list of your most used apps and recent documents.
chkFolderDiscovery	Esplora file non cerca più di indovinare il tipo di ogni cartella. Le cartelle grandi si aprono prima.	File Explorer no longer tries to guess each folder's type. Large folders open faster.
chkWindowsAI	Spegne Copilot, Recall e le funzioni di intelligenza artificiale di Windows. Meno risorse usate e più privacy.	Turns off Copilot, Recall and Windows AI features. Fewer resources used and more privacy.
chkEdgeDebloat	Edge non resta aperto in background e non precarica pagine. Meno memoria occupata.	Edge no longer stays open in the background or preloads pages. Less memory used.
chkOneDriveRemove	Ferma la sincronizzazione di OneDrive. Utile se non usi il cloud di Microsoft.	Stops OneDrive syncing. Useful if you do not use Microsoft's cloud.
chkOutlookNew	Impedisce il passaggio automatico al nuovo Outlook. Resti sulla versione che usi.	Prevents the automatic switch to the new Outlook. You stay on the version you use.
chkServicesManual	I servizi poco usati partono solo quando servono. Avvio più leggero.	Rarely used services start only when needed. A lighter startup.
chkDeliveryOpt	Il PC smette di condividere gli aggiornamenti con altri computer su internet. Risparmi banda.	The PC stops sharing updates with other computers over the internet. Saves bandwidth.
chkBitLocker	Evita la cifratura automatica del disco. Disco un po' più veloce e niente chiave di ripristino da conservare.	Avoids automatic drive encryption. A slightly faster disk and no recovery key to keep.
chkWPBT	Impedisce al firmware del produttore di installare programmi in Windows a tua insaputa.	Prevents the manufacturer's firmware from installing programs into Windows without you knowing.
chkBackgroundApps	Le app dello Store non lavorano più quando sono chiuse. Meno batteria e memoria consumate.	Store apps stop working while closed. Less battery and memory used.
chkTeredo	Spegne un vecchio tunnel di rete quasi mai usato. Può migliorare la connessione nei giochi online.	Turns off an old, rarely used network tunnel. Can improve connections in online games.
chkRDPWarnings	Niente avvisi ripetuti quando apri connessioni Desktop remoto già note.	No repeated warnings when opening known Remote Desktop connections.
chkRemoteAssistance	Impedisce ad altri di chiedere il controllo del tuo PC. Più sicurezza.	Prevents others from requesting control of your PC. More security.
chkCompanionApps	Windows non scarica più app accessorie quando colleghi una periferica.	Windows no longer downloads companion apps when you connect a device.
chkDriverUpdates	Windows Update non sostituisce più i driver che hai installato tu.	Windows Update no longer replaces the drivers you installed yourself.
chkDarkTheme	Mette Windows e le app in tema scuro. Più riposante per gli occhi.	Switches Windows and apps to dark mode. Easier on the eyes.
chkFileExt	Mostra .exe, .pdf e le altre estensioni. Riconosci subito i file sospetti.	Shows .exe, .pdf and other extensions. You spot suspicious files right away.
chkHiddenFiles	Mostra file e cartelle nascosti in Esplora file.	Shows hidden files and folders in File Explorer.
chkLongPaths	Permette percorsi di file molto lunghi. Evita errori con progetti e archivi profondi.	Allows very long file paths. Avoids errors with deep projects and archives.
chkClassicMenu	Rimette il menu del tasto destro completo, senza passare da «Mostra altre opzioni».	Brings back the full right-click menu, without going through «Show more options».
chkExplorerThisPC	Esplora file si apre su Questo PC, con dischi e cartelle in vista.	File Explorer opens on This PC, with drives and folders in view.
chkRemove3D	Toglie la cartella Oggetti 3D, che quasi nessuno usa.	Removes the 3D Objects folder, which almost nobody uses.
chkRecycleConfirm	Chiede conferma prima di spostare un file nel Cestino. Meno cancellazioni per sbaglio.	Asks before moving a file to the Recycle Bin. Fewer accidental deletions.
chkMenuDelay	I menu si aprono all'istante, senza la piccola attesa predefinita.	Menus open instantly, without the small default delay.
chkStartMorePins	Nel menu Start più spazio alle app fissate e meno ai consigli.	More room for pinned apps in Start, less for recommendations.
chkStartHideRec	Nasconde la sezione Consigliati del menu Start. Start più pulito.	Hides the Recommended section of the Start menu. A cleaner Start.
chkStartNoWeb	Toglie i siti web suggeriti dal menu Start.	Removes suggested websites from the Start menu.
chkStartNoAccount	Niente avvisi sull'account Microsoft nel menu Start.	No Microsoft account prompts in the Start menu.
chkTaskbarCenter	Tiene le icone della barra delle applicazioni al centro, come in Windows 11.	Keeps taskbar icons centered, as in Windows 11.
chkTaskbarSearch	Toglie la casella di ricerca dalla barra. La ricerca resta disponibile dal tasto Windows.	Removes the search box from the taskbar. Search is still available from the Windows key.
chkTaskbarTaskView	Toglie il pulsante Visualizzazione attività dalla barra.	Removes the Task View button from the taskbar.
chkTaskbarWidgets	Toglie widget e notizie dalla barra. Meno memoria e meno distrazioni.	Removes widgets and news from the taskbar. Less memory and fewer distractions.
chkTaskbarChat	Toglie l'icona di Chat e Teams dalla barra.	Removes the Chat and Teams icon from the taskbar.
chkTaskbarEndTask	Aggiunge «Termina attività» al tasto destro sulla barra. Chiudi un programma bloccato senza Gestione attività.	Adds «End task» to the taskbar right-click menu. Close a frozen program without Task Manager.
chkBatteryPct	Mostra la percentuale di carica accanto all'icona della batteria.	Shows the charge percentage next to the battery icon.
chkSettingsHome	Impostazioni si apre direttamente sulle voci utili, senza la pagina iniziale promozionale.	Settings opens straight to the useful sections, without the promotional home page.
chkWindowSnapping	Attiva l'affiancamento delle finestre trascinandole ai bordi dello schermo.	Turns on window snapping when you drag windows to the screen edges.
chkMouseAccel	Il puntatore si muove sempre della stessa distanza. Mira più precisa e costante nei giochi.	The pointer always moves the same distance. More precise, consistent aim in games.
chkNumLock	Il tastierino numerico è già attivo quando accendi il PC.	The numeric keypad is already on when you start the PC.
chkStickyKeys	Niente finestra dei Tasti permanenti premendo più volte Maiusc, anche durante i giochi.	No Sticky Keys prompt when pressing Shift repeatedly, even during games.
chkScrollbars	Le barre di scorrimento restano sempre visibili invece di comparire solo al passaggio.	Scrollbars stay visible instead of appearing only on hover.
chkLockScreen	Salta la schermata di blocco e porta subito alla richiesta di accesso.	Skips the lock screen and goes straight to sign-in.
chkLogonBlur	Toglie la sfocatura dallo sfondo di accesso. Immagine più nitida e accesso un filo più rapido.	Removes the blur from the sign-in background. A sharper image and slightly faster sign-in.
chkBSODVerbose	La schermata blu mostra i dettagli dell'errore. Più facile capire la causa di un blocco.	The blue screen shows the error details. Easier to find what caused a crash.
chkLogonVerbose	All'avvio e allo spegnimento vedi cosa sta facendo Windows. Utile per capire cosa lo rallenta.	At startup and shutdown you see what Windows is doing. Helps find what slows it down.
chkApplyNetwork	Applica le impostazioni della pagina Rete. Senza questa spunta la pagina resta solo informativa.	Applies the settings on the Network page. Without this box the page is informational only.
chkApplyDns	Usa i server DNS scelti nel menu. Pagine che si aprono più in fretta e, con alcuni servizi, meno pubblicità.	Uses the DNS servers chosen in the menu. Pages open faster and, with some providers, fewer ads.
chkNetPowerSave	La scheda di rete non va più a risparmio energetico. Connessione più stabile e ping più regolare.	The network card no longer goes into power saving. A steadier connection and more even ping.
chkDisableIPv6	Spegne il protocollo IPv6. Utile solo se il tuo operatore non lo usa e hai problemi di connessione.	Turns off IPv6. Useful only if your provider does not use it and you have connection issues.
chkStorageProfile	Applica le ottimizzazioni pensate per il tipo di disco scelto: SSD o disco meccanico.	Applies the optimizations meant for the chosen drive type: SSD or hard disk.
chkDiskCleanup	Elimina file di sistema superflui e vecchie versioni degli aggiornamenti. Recupera spazio, a volte diversi GB.	Deletes unneeded system files and old update versions. Recovers space, sometimes several GB.
chkTempCleanup	Svuota le cartelle dei file temporanei. Più spazio libero.	Empties the temporary file folders. More free space.
chkSmartChkdsk	Controlla il disco al prossimo riavvio nel modo adatto a SSD o disco meccanico. Corregge errori del file system.	Checks the disk at the next restart in the way that suits SSDs or hard disks. Fixes file system errors.
chkStorageSense	Windows non cancella più file da solo per fare spazio. Decidi tu cosa eliminare.	Windows no longer deletes files on its own to make room. You decide what to remove.
chkReservedStorage	Libera lo spazio che Windows tiene da parte per gli aggiornamenti, circa 7 GB.	Frees the space Windows keeps aside for updates, about 7 GB.
chkFastStartup	Ogni spegnimento diventa uno spegnimento completo. Risolve problemi di driver e dual boot.	Every shutdown becomes a full shutdown. Fixes driver and dual-boot problems.
