L:lblSubtitle	Оптимизация и управление Windows — PcFixPro Italia
L:tabPerf	Производительность
L:tabPrivacy	Конфиденциальность
L:tabUi	Интерфейс
L:tabNet	Сеть
L:tabStorage	Накопители
L:ttlLatency	ЗАДЕРЖКИ И ПЛАНИРОВАНИЕ
L:chkMMCSS	MMCSS — отклик в играх и звуке
L:chkPriority	Планирование ЦП — приоритет активного окна (0x26)
L:chkKernelMem	Память ядра — без выгрузки в файл подкачки
L:chkKernelDpc	Ядро и задержки DPC
L:chkTimer	Системный таймер — максимальная точность
L:chkPowerThrottling	Power Throttling — отключить
L:chkUSBSuspend	Выборочная приостановка USB — отключить
L:chkNtfsPerf	NTFS — без времени последнего доступа, большой кэш
L:ttlRam	ПАМЯТЬ
L:chkRamTweak	Порог разделения SvcHost (по объёму ОЗУ)
L:lblRamInstalled	Установлено ОЗУ:
L:lblRamHint	Определяется автоматически при запуске; можно изменить вручную.
L:ttlGraphics	ГРАФИКА И ИГРЫ
L:chkGameMode	Игровой режим — включить
L:chkFSO	Оптимизация во весь экран (FSO) — отключить
L:chkGameDVR	Game DVR и запись Xbox — отключить
L:chkHAGS	Аппаратное планирование GPU — включить
L:chkVisualFX	Визуальные эффекты — наилучшее быстродействие
L:chkApplyMPO	Применить настройку Multiplane Overlay (MPO)
L:mpoOn	Включено (по умолчанию в Windows)
L:mpoOff	Отключено (убирает рывки и мерцание)
L:mpoCompat	Включено, совместимо (2 плоскости)
L:ttlRisky	ДОПОЛНИТЕЛЬНО — СНИЖАЮТ БЕЗОПАСНОСТЬ
L:lblRiskyHint	Не входят в «Выбрать всё». Включайте, только если понимаете последствия.
L:chkVBS	VBS / Целостность памяти — отключить
L:chkMitigations	Системная защита от эксплойтов — отключить
L:tabPower	Электропитание
L:tabGpu	Видеокарта
L:ttlPlans	СХЕМЫ ЭЛЕКТРОПИТАНИЯ
L:btnRefreshPlans	Обновить
L:btnRemoveTestPlans	Удалить тестовые схемы
L:ttlSleep	ЭКОНОМИЯ И СОН
L:lblSleepHint	Применяются кнопкой «Применить».
L:ttlPlanWarn	ПЕРЕД ПРОВЕРКОЙ
L:lblPlanWarn	Схемы из раздела «Для проверки» созданы сторонними авторами. Пробуйте по одной и вернитесь к «Сбалансированной», если компьютер работает нестабильно.
L:ttlGpuDetected	ОБНАРУЖЕННАЯ КАРТА
L:btnDetectGpu	Обновить
L:lblGpuHint	Здесь облегчается уже установленный драйвер: телеметрия, лишние службы и автозапуск.
L:ttlGpuCommon	ОБЩИЕ НАСТРОЙКИ
L:chkGpuTdr	TDR — тайм-аут драйвера 10 с
L:chkGpuMsi	Прерывания MSI для видеокарты — включить
L:lblNvidiaHint	Пропускается, если карта не NVIDIA.
L:chkNvTelemetry	Телеметрия NVIDIA — отключить
L:chkNvGfe	GeForce Experience в фоне — отключить
L:chkNvPerfMode	Управление питанием GPU — максимальная производительность
L:chkNvUpdates	Проверка обновлений драйвера NVIDIA — отключить
L:lblAmdHint	Пропускается, если карта не AMD.
L:chkAmdUx	Программа улучшения качества AMD — отключить
L:chkAmdBloat	Службы и автозапуск AMD — отключить
L:chkIntelBloat	Дополнительные службы Intel Graphics — отключить
L:lblUiScale	Масштаб интерфейса
L:ttlShader	КЭШ ШЕЙДЕРОВ
L:lblShaderHint	Шейдеры, уже скомпилированные играми. Очистка освобождает место и убирает артефакты после смены драйвера. Первый запуск каждой игры будет дольше, потом всё вернётся к норме.
L:btnShaderScan	Посчитать занятое место
L:btnShaderClear	Очистить кэш шейдеров
L:ttlStart	МЕНЮ «ПУСК»
L:chkStartMorePins	Больше места для закреплённых, меньше для рекомендаций
L:chkStartHideRec	Раздел «Рекомендуем» — скрыть
L:chkStartNoWeb	Рекомендуемые сайты в «Пуске» — убрать
L:chkStartNoAccount	Уведомления учётной записи в «Пуске» — убрать
L:ttlFeat	СКРЫТЫЕ ФУНКЦИИ
L:lblFeatHint	Включает или отключает функцию Windows по её номеру, как ViVeTool. Номера меняются с каждой сборкой: берите их из источника для вашей сборки.
L:featOn	Включить
L:featOff	Отключить
L:featReset	По умолчанию
L:lblFeatId	Номер функции
L:btnFeatApply	Применить
L:btnFeatList	Показать активные изменения
L:chkFastStartup	Быстрый запуск — отключить
