g.exp.desk	Icônes du bureau
exp.icoPc	Ce PC sur le bureau
exp.icoBin	Corbeille sur le bureau
exp.icoUser	Dossier utilisateur sur le bureau
exp.icoCpl	Panneau de configuration sur le bureau
exp.icoNet	Réseau sur le bureau
exp.lnkSuffix	Nom des nouveaux raccourcis
exp.lnkSuffix#keep	Avec «- Raccourci»
exp.lnkSuffix#drop	Sans suffixe
exp.lnkArrow	Flèche sur les icônes de raccourci
exp.lnkArrow#show	Visible
exp.lnkArrow#hide	Masquée
g.exp.ctx	Menu contextuel
exp.ctxTerminal	Ouvrir dans le Terminal
exp.ctxOwner	Prendre possession
exp.ctxSfc	Vérifier les fichiers système (SFC)
exp.ctxDism	Réparer l'image de Windows (DISM)
exp.ctxExt	Afficher ou masquer les extensions
g.exp.gen	Général
exp.recent	Fichiers récents dans Accueil
exp.frequent	Dossiers fréquents dans Accueil
exp.office	Fichiers d'Office.com dans Accueil
exp.syncAds	Annonces des services cloud dans l'Explorateur
exp.sepProc	Dossiers dans un processus distinct
exp.persist	Rouvrir les dossiers à la connexion
exp.checkSel	Cases à cocher pour sélectionner
exp.menus	Toujours afficher la barre de menus
exp.compact	Vue compacte
exp.fullPath	Chemin complet dans la barre de titre
exp.statusBar	Barre d'état
exp.infoTip	Description au survol
exp.folderSize	Taille du dossier dans la description
exp.preview	Aperçus dans le volet de visualisation
exp.iconsOnly	Icônes seules, sans miniatures
exp.typeOverlay	Icône du programme sur les miniatures
exp.superHidden	Fichiers protégés du système
exp.emptyDrives	Masquer les lecteurs vides
exp.driveLetters	Lettres des lecteurs
exp.ntfsColor	Fichiers compressés et chiffrés en couleur
exp.mergeAsk	Demander avant de fusionner des dossiers homonymes
exp.sharingWiz	Assistant de partage
exp.lnkExt	Extension .lnk des raccourcis
exp.iconCache	Cache des icônes
exp.iconCache#def	Par défaut
exp.iconCache#4096	Grand (4096 icônes)
exp.iconCache#8192	Très grand (8192 icônes)
exp.thumbClean	Nettoyage automatique des miniatures
g.exp.thispc	Dossiers dans Ce PC
exp.pcDesktop	Bureau
exp.pcDocs	Documents
exp.pcDown	Téléchargements
exp.pcMusic	Musique
exp.pcPics	Images
exp.pcVideos	Vidéos
g.exp.nav	Volet de navigation
exp.navHome	Accueil
exp.navGallery	Galerie
exp.navLibs	Bibliothèques
exp.navExpand	Développer jusqu'au dossier ouvert
exp.navAll	Afficher tous les dossiers
exp.navCloud	État de synchronisation toujours visible
exp.navDupDrives	Lecteurs amovibles en double
g.exp.dev	Périphériques
exp.autoplay	Exécution automatique
exp.lighting	Éclairage dynamique
exp.lightingApp	Les apps au premier plan pilotent les LED
exp.printer	Windows choisit l'imprimante par défaut
exp.pwdless	Connexion automatique dans Comptes d'utilisateurs
g.task.start	Menu Démarrer
task.allApps	Vue Toutes les apps
task.allApps#cat	Par catégorie
task.allApps#grid	Grille
task.allApps#list	Liste
task.recentApps	Apps récemment ajoutées
task.frequentApps	Apps les plus utilisées
task.recentDocs	Fichiers recommandés et récemment ouverts
task.startLock	Verrouiller dans le menu du compte
g.task.bar	Barre des tâches
task.autoHide	Masquer automatiquement la barre des tâches
task.badges	Badges sur les icônes
task.flashing	Icônes clignotantes
task.allDisplays	Barre sur tous les écrans
task.mmMode	Boutons sur les autres écrans
task.mmMode#all	Sur toutes les barres
task.mmMode#main	Barre principale et là où la fenêtre est ouverte
task.mmMode#open	Seulement là où elle est ouverte
task.share	Partager une fenêtre depuis la barre
task.cornerDesk	Coin pour afficher le bureau
task.combine	Regrouper les boutons
task.combine#always	Toujours, masquer les libellés
task.combine#full	Quand la barre est pleine
task.combine#never	Jamais
task.combineMm	Regrouper sur les autres écrans
task.combineMm#always	Toujours, masquer les libellés
task.combineMm#full	Quand la barre est pleine
task.combineMm#never	Jamais
task.small	Petits boutons
task.small#always	Toujours
task.small#full	Quand la barre est pleine
task.small#never	Jamais
task.copilot	Bouton Copilot
task.bell	Cloche des notifications
task.hover	Délai de l'aperçu
task.hover#1	Instantané
task.hover#100	Rapide (100 ms)
task.hover#200	Moyen (200 ms)
task.hover#def	Par défaut (400 ms)
g.notif.toast	Notifications
notif.toast	Notifications des apps
notif.sound	Son des notifications
notif.lock	Notifications sur l'écran de verrouillage
notif.lockVoip	Rappels et appels sur l'écran de verrouillage
g.notif.tips	Suggestions de Windows
notif.welcome	Présentation après les mises à jour
notif.scoobe	Invitations à terminer la configuration
notif.tipsUse	Conseils pendant l'utilisation de Windows
g.notif.sys	Avis système
notif.capAccess	Avis quand une app utilise le micro ou la position
notif.startupApp	Avis sur les nouvelles apps au démarrage
notif.locPrompt	Avis quand les apps demandent la position
notif.dst	Avis de changement d'heure
notif.secMaint	Sécurité et maintenance
notif.defender	Notifications de Sécurité Windows
g.notif.sound	Sons
notif.bootSound	Son de démarrage de Windows
notif.ducking	Pendant les appels
notif.ducking#mute	Couper les autres sons
notif.ducking#80	Baisser les autres sons de 80%
notif.ducking#50	Baisser les autres sons de 50%
notif.ducking#none	Ne rien faire
notif.voiceAct	Activation vocale des apps
notif.accSounds	Sons d'activation de l'accessibilité
notif.accWarn	Sons d'avertissement de l'accessibilité
g.notif.access	Raccourcis d'accessibilité
notif.filterKeys	Touches filtres (Maj droite 8 secondes)
notif.toggleKeys	Touches bascules (Verr Num 5 secondes)
notif.mouseKeys	Touches souris (Alt+Maj+Verr Num)
notif.contrast	Contraste élevé (Alt+Maj+Impr écran)
notif.narrator	Narrateur (Win+Ctrl+Entrée)
notif.hoverTime	Délai de survol du pointeur
notif.hoverTime#10	Instantané (10 ms)
notif.hoverTime#100	Rapide (100 ms)
notif.hoverTime#200	Moyen (200 ms)
notif.hoverTime#def	Par défaut (400 ms)
g.game.gfx	Graphismes et jeux
game.windowed	Optimisations pour les jeux fenêtrés
game.vrr	Fréquence variable pour les jeux non compatibles
game.autoHdr	HDR automatique
game.gbController	Game Bar avec le bouton Xbox de la manette
game.gbTips	Conseils au démarrage de la Game Bar
game.jpegFull	Fond d'écran en pleine qualité
game.startDelay	Délai des apps au démarrage
game.altTab	Alt+Tab affiche
game.altTab#open	Seulement les fenêtres ouvertes
game.altTab#five	Fenêtres et 5 onglets récents
game.altTab#three	Fenêtres et 3 onglets récents
game.altTab#all	Fenêtres et tous les onglets
g.game.vfx	Effets visuels
game.fxControls	Animer les contrôles dans les fenêtres
game.fxMinMax	Animation de réduction et d'agrandissement
game.fxTaskbar	Animations de la barre des tâches
game.fxPeek	Aperçu du bureau (Peek)
game.fxMenuFade	Fondu ou glissement des menus
game.fxTipFade	Fondu ou glissement des info-bulles
game.fxItemFade	Estomper les éléments de menu après le clic
game.fxCursorShadow	Ombre du pointeur
game.fxWinShadow	Ombres sous les fenêtres
game.fxCombo	Ouvrir les zones de liste en glissant
game.fxSmoothList	Défilement doux des listes
game.fxSelRect	Rectangle de sélection translucide
game.fxDrag	Contenu des fenêtres pendant le déplacement
game.fxFonts	Lissage des polices
game.fxIconShadow	Ombres sous les noms des icônes
game.fxThumbCache	Conserver les aperçus de la barre
g.win.sec	Sécurité
win.uac	Contrôle de compte d'utilisateur
win.uac#always	Toujours avertir
win.uac#notify	Avertir quand des apps font des modifications
win.uac#nodim	Pareil, sans assombrir l'écran
win.uac#never	Ne jamais avertir
win.psPolicy	Exécution des scripts PowerShell
win.psPolicy#restricted	Bloqués (par défaut)
win.psPolicy#remote	Locaux oui, téléchargés seulement signés
win.psPolicy#signed	Scripts signés uniquement
win.psPolicy#all	Tous, avec avertissement
