L:lblSubtitle	Windows-Optimierung und -Steuerung — PcFixPro Italia
L:tabPerf	Leistung
L:tabPrivacy	Datenschutz
L:tabUi	Oberfläche
L:tabNet	Netzwerk
L:tabStorage	Speicher
L:ttlLatency	LATENZ UND SCHEDULING
L:chkMMCSS	MMCSS — Reaktionszeit für Spiele und Audio
L:chkPriority	CPU-Scheduling — Vordergrund bevorzugen (0x26)
L:chkKernelMem	Kernel-Speicher — kein Auslagern der Executive
L:chkKernelDpc	Kernel- und DPC-Latenz
L:chkTimer	Systemtimer — höchste Genauigkeit
L:chkPowerThrottling	Power Throttling — deaktivieren
L:chkUSBSuspend	Selektives USB-Energiesparen — deaktivieren
L:chkNtfsPerf	NTFS — kein letzter Zugriffszeitpunkt, großer Cache
L:ttlRam	ARBEITSSPEICHER
L:chkRamTweak	SvcHost-Aufteilungsschwelle (nach RAM)
L:lblRamInstalled	Installierter RAM:
L:lblRamHint	Beim Start automatisch erkannt; kann manuell geändert werden.
L:ttlGraphics	GRAFIK UND SPIELE
L:chkGameMode	Spielmodus — aktivieren
L:chkFSO	Vollbildoptimierungen (FSO) — deaktivieren
L:chkGameDVR	Game DVR und Xbox-Aufnahme — deaktivieren
L:chkHAGS	Hardwarebeschleunigte GPU-Planung — aktivieren
L:chkVisualFX	Visuelle Effekte — auf Leistung optimieren
L:chkApplyMPO	Multiplane-Overlay-Einstellung (MPO) anwenden
L:mpoOn	Aktiviert (Windows-Standard)
L:mpoOff	Deaktiviert (behebt Ruckeln und Flackern)
L:mpoCompat	Aktiviert, kompatibel (2 Ebenen)
L:ttlRisky	ERWEITERT — VERRINGERN DIE SICHERHEIT
L:lblRiskyHint	Von «Alle auswählen» ausgeschlossen. Nur aktivieren, wenn du die Folgen kennst.
L:chkVBS	VBS / Speicherintegrität — deaktivieren
L:chkMitigations	System-Exploit-Schutz — deaktivieren
L:tabPower	Energie
L:tabGpu	Grafikkarte
L:ttlPlans	ENERGIESPARPLÄNE
L:btnRefreshPlans	Aktualisieren
L:btnRemoveTestPlans	Testpläne entfernen
L:ttlSleep	ENERGIESPAREN UND STANDBY
L:lblSleepHint	Werden mit der Schaltfläche Anwenden übernommen.
L:ttlPlanWarn	VOR DEM TESTEN
