g.exp.desk	Pictogramele desktopului
exp.icoPc	Acest PC pe desktop
exp.icoBin	Coș de reciclare pe desktop
exp.icoUser	Folderul utilizatorului pe desktop
exp.icoCpl	Panou de control pe desktop
exp.icoNet	Rețea pe desktop
exp.lnkSuffix	Numele comenzilor rapide noi
exp.lnkSuffix#keep	Cu «- Comandă rapidă»
exp.lnkSuffix#drop	Fără sufix
exp.lnkArrow	Săgeată pe comenzile rapide
exp.lnkArrow#show	Vizibilă
exp.lnkArrow#hide	Ascunsă
g.exp.ctx	Meniu contextual
exp.ctxTerminal	Deschide în Terminal
exp.ctxOwner	Preia proprietatea
exp.ctxSfc	Verifică fișierele de sistem (SFC)
exp.ctxDism	Repară imaginea Windows (DISM)
exp.ctxExt	Afișează sau ascunde extensiile
g.exp.gen	General
exp.recent	Fișiere recente în Pornire
exp.frequent	Foldere frecvente în Pornire
exp.office	Fișiere de pe Office.com în Pornire
exp.syncAds	Anunțuri ale serviciilor cloud în Explorer
exp.sepProc	Foldere într-un proces separat
exp.persist	Redeschide folderele la conectare
exp.checkSel	Casete de selectare pentru elemente
exp.menus	Afișează mereu bara de meniu
exp.compact	Vizualizare compactă
exp.fullPath	Calea completă în bara de titlu
exp.statusBar	Bara de stare
exp.infoTip	Descriere la trecerea mouse-ului
exp.folderSize	Dimensiunea folderului în descriere
exp.preview	Previzualizări în panoul de previzualizare
exp.iconsOnly	Doar pictograme, fără miniaturi
exp.typeOverlay	Pictograma programului pe miniaturi
exp.superHidden	Fișiere protejate ale sistemului de operare
exp.emptyDrives	Ascunde unitățile goale
exp.driveLetters	Literele unităților
exp.ntfsColor	Fișiere comprimate și criptate colorate
exp.mergeAsk	Întreabă înainte de a uni foldere cu același nume
exp.sharingWiz	Expertul de partajare
exp.lnkExt	Extensia .lnk a comenzilor rapide
exp.iconCache	Memoria cache a pictogramelor
exp.iconCache#def	Implicită
exp.iconCache#4096	Mare (4096 pictograme)
exp.iconCache#8192	Foarte mare (8192 pictograme)
exp.thumbClean	Curățarea automată a miniaturilor
g.exp.thispc	Foldere în Acest PC
exp.pcDesktop	Desktop
exp.pcDocs	Documente
exp.pcDown	Descărcări
exp.pcMusic	Muzică
