g.exp.desk	Desktopsymbole
exp.icoPc	Dieser PC auf dem Desktop
exp.icoBin	Papierkorb auf dem Desktop
exp.icoUser	Benutzerordner auf dem Desktop
exp.icoCpl	Systemsteuerung auf dem Desktop
exp.icoNet	Netzwerk auf dem Desktop
exp.lnkSuffix	Name neuer Verknüpfungen
exp.lnkSuffix#keep	Mit «- Verknüpfung»
exp.lnkSuffix#drop	Ohne Zusatz
exp.lnkArrow	Pfeil auf Verknüpfungssymbolen
exp.lnkArrow#show	Sichtbar
exp.lnkArrow#hide	Ausgeblendet
g.exp.ctx	Kontextmenü
exp.ctxTerminal	Im Terminal öffnen
exp.ctxOwner	Besitz übernehmen
exp.ctxSfc	Systemdateien prüfen (SFC)
exp.ctxDism	Windows-Abbild reparieren (DISM)
exp.ctxExt	Dateierweiterungen ein- oder ausblenden
g.exp.gen	Allgemein
exp.recent	Zuletzt verwendete Dateien in Start
exp.frequent	Häufige Ordner in Start
exp.office	Dateien von Office.com in Start
exp.syncAds	Hinweise von Cloud-Diensten im Explorer
exp.sepProc	Ordner in eigenem Prozess
exp.persist	Ordner bei der Anmeldung wieder öffnen
exp.checkSel	Kontrollkästchen zur Auswahl
exp.menus	Menüleiste immer anzeigen
exp.compact	Kompakte Ansicht
exp.fullPath	Vollständiger Pfad in der Titelleiste
exp.statusBar	Statusleiste
exp.infoTip	Beschreibung beim Zeigen
exp.folderSize	Ordnergröße in der Beschreibung
exp.preview	Vorschau im Vorschaufenster
exp.iconsOnly	Nur Symbole, keine Miniaturen
exp.typeOverlay	Programmsymbol auf Miniaturen
exp.superHidden	Geschützte Systemdateien
exp.emptyDrives	Leere Laufwerke ausblenden
exp.driveLetters	Laufwerksbuchstaben
exp.ntfsColor	Komprimierte und verschlüsselte Dateien farbig
exp.mergeAsk	Vor dem Zusammenführen gleichnamiger Ordner fragen
exp.sharingWiz	Freigabe-Assistent
exp.lnkExt	Erweiterung .lnk von Verknüpfungen
exp.iconCache	Symbol-Cache
exp.iconCache#def	Standard
exp.iconCache#4096	Groß (4096 Symbole)
exp.iconCache#8192	Sehr groß (8192 Symbole)
exp.thumbClean	Automatische Bereinigung der Miniaturen
g.exp.thispc	Ordner in Dieser PC
exp.pcDesktop	Desktop
exp.pcDocs	Dokumente
exp.pcDown	Downloads
exp.pcMusic	Musik
exp.pcPics	Bilder
exp.pcVideos	Videos
g.exp.nav	Navigationsbereich
exp.navHome	Start
exp.navGallery	Katalog
exp.navLibs	Bibliotheken
exp.navExpand	Bis zum geöffneten Ordner erweitern
exp.navAll	Alle Ordner anzeigen
exp.navCloud	Synchronisierungsstatus immer sichtbar
exp.navDupDrives	Doppelte Wechseldatenträger
g.exp.dev	Geräte
exp.autoplay	Automatische Wiedergabe
exp.lighting	Dynamische Beleuchtung
exp.lightingApp	Apps im Vordergrund steuern die LEDs
exp.printer	Windows wählt den Standarddrucker
exp.pwdless	Automatische Anmeldung in Benutzerkonten
g.task.start	Startmenü
task.allApps	Ansicht Alle Apps
task.allApps#cat	Nach Kategorie
task.allApps#grid	Raster
task.allApps#list	Liste
task.recentApps	Zuletzt hinzugefügte Apps
task.frequentApps	Meistverwendete Apps
task.recentDocs	Empfohlene und zuletzt geöffnete Dateien
task.startLock	Sperren im Kontomenü
g.task.bar	Taskleiste
task.autoHide	Taskleiste automatisch ausblenden
task.badges	Indikatoren auf Symbolen
task.flashing	Blinkende Symbole
task.allDisplays	Taskleiste auf allen Bildschirmen
task.mmMode	Schaltflächen auf anderen Bildschirmen
task.mmMode#all	Auf allen Taskleisten
task.mmMode#main	Haupttaskleiste und wo geöffnet
task.mmMode#open	Nur wo geöffnet
task.share	Fenster über die Taskleiste teilen
task.cornerDesk	Ecke zum Anzeigen des Desktops
task.combine	Schaltflächen gruppieren
task.combine#always	Immer, Beschriftungen ausblenden
task.combine#full	Wenn die Taskleiste voll ist
task.combine#never	Nie
task.combineMm	Gruppieren auf anderen Bildschirmen
task.combineMm#always	Immer, Beschriftungen ausblenden
task.combineMm#full	Wenn die Taskleiste voll ist
task.combineMm#never	Nie
task.small	Kleine Schaltflächen
task.small#always	Immer
task.small#full	Wenn die Taskleiste voll ist
task.small#never	Nie
task.copilot	Copilot-Schaltfläche
task.bell	Benachrichtigungsglocke
task.hover	Vorschauverzögerung
task.hover#1	Sofort
task.hover#100	Schnell (100 ms)
task.hover#200	Mittel (200 ms)
task.hover#def	Standard (400 ms)
g.notif.toast	Benachrichtigungen
notif.toast	App-Benachrichtigungen
notif.sound	Benachrichtigungston
notif.lock	Benachrichtigungen auf dem Sperrbildschirm
notif.lockVoip	Erinnerungen und Anrufe auf dem Sperrbildschirm
g.notif.tips	Windows-Vorschläge
notif.welcome	Einführung nach Updates
notif.scoobe	Aufforderungen zum Abschluss der Einrichtung
notif.tipsUse	Tipps bei der Nutzung von Windows
g.notif.sys	Systemhinweise
notif.capAccess	Hinweis, wenn eine App Mikrofon oder Standort nutzt
notif.startupApp	Hinweis auf neue Autostart-Apps
notif.locPrompt	Hinweis, wenn Apps den Standort anfragen
notif.dst	Hinweis zur Zeitumstellung
notif.secMaint	Sicherheit und Wartung
notif.defender	Benachrichtigungen von Windows-Sicherheit
g.notif.sound	Töne
notif.bootSound	Windows-Startsound
notif.ducking	Während Anrufen
notif.ducking#mute	Andere Töne stummschalten
notif.ducking#80	Andere Töne um 80% senken
notif.ducking#50	Andere Töne um 50% senken
notif.ducking#none	Nichts tun
notif.voiceAct	Sprachaktivierung für Apps
notif.accSounds	Aktivierungstöne der Barrierefreiheit
notif.accWarn	Warntöne der Barrierefreiheit
g.notif.access	Tastenkombinationen der Barrierefreiheit
notif.filterKeys	Anschlagverzögerung (rechte Umschalttaste 8 Sekunden)
notif.toggleKeys	Statusanzeige (Num 5 Sekunden)
notif.mouseKeys	Maustasten (Alt+Umschalt+Num)
notif.contrast	Hoher Kontrast (Alt+Umschalt+Druck)
notif.narrator	Sprachausgabe (Win+Strg+Eingabe)
notif.hoverTime	Zeigerverweilzeit
notif.hoverTime#10	Sofort (10 ms)
notif.hoverTime#100	Schnell (100 ms)
notif.hoverTime#200	Mittel (200 ms)
notif.hoverTime#def	Standard (400 ms)
g.game.gfx	Grafik und Spiele
game.windowed	Optimierungen für Spiele im Fenstermodus
game.vrr	Variable Bildwiederholrate für nicht unterstützte Spiele
game.autoHdr	Auto HDR
game.gbController	Game Bar über die Xbox-Taste des Controllers
game.gbTips	Tipps beim Start der Game Bar
game.jpegFull	Hintergrundbild in voller Qualität
game.startDelay	Verzögerung für Autostart-Apps
game.altTab	Alt+Tab zeigt
game.altTab#open	Nur geöffnete Fenster
game.altTab#five	Fenster und 5 letzte Tabs
game.altTab#three	Fenster und 3 letzte Tabs
game.altTab#all	Fenster und alle Tabs
g.game.vfx	Visuelle Effekte
game.fxControls	Steuerelemente in Fenstern animieren
game.fxMinMax	Animation beim Minimieren und Maximieren
game.fxTaskbar	Animationen in der Taskleiste
game.fxPeek	Desktopvorschau (Peek)
game.fxMenuFade	Menüs ein- oder ausblenden
game.fxTipFade	QuickInfos ein- oder ausblenden
game.fxItemFade	Menüelemente nach dem Klicken ausblenden
game.fxCursorShadow	Mauszeigerschatten
game.fxWinShadow	Schatten unter Fenstern
