g.exp.desk	Ícones da área de trabalho
exp.icoPc	Este Computador na área de trabalho
exp.icoBin	Lixeira na área de trabalho
exp.icoUser	Pasta do usuário na área de trabalho
exp.icoCpl	Painel de Controle na área de trabalho
exp.icoNet	Rede na área de trabalho
exp.lnkSuffix	Nome dos novos atalhos
exp.lnkSuffix#keep	Com «- Atalho»
exp.lnkSuffix#drop	Sem sufixo
exp.lnkArrow	Seta nos ícones de atalho
exp.lnkArrow#show	Visível
exp.lnkArrow#hide	Oculta
g.exp.ctx	Menu de contexto
exp.ctxTerminal	Abrir no Terminal
exp.ctxOwner	Tomar posse
exp.ctxSfc	Verificar arquivos do sistema (SFC)
exp.ctxDism	Reparar imagem do Windows (DISM)
exp.ctxExt	Mostrar ou ocultar extensões
g.exp.gen	Geral
exp.recent	Arquivos recentes no Início
exp.frequent	Pastas frequentes no Início
exp.office	Arquivos do Office.com no Início
exp.syncAds	Avisos de serviços de nuvem no Explorador
exp.sepProc	Pastas em processo separado
exp.persist	Reabrir pastas ao entrar
exp.checkSel	Caixas de seleção para itens
exp.menus	Sempre mostrar a barra de menus
exp.compact	Modo de exibição compacto
exp.fullPath	Caminho completo na barra de título
exp.statusBar	Barra de status
exp.infoTip	Descrição ao passar o mouse
exp.folderSize	Tamanho da pasta na descrição
exp.preview	Visualizações no painel de visualização
exp.iconsOnly	Só ícones, sem miniaturas
exp.typeOverlay	Ícone do programa nas miniaturas
exp.superHidden	Arquivos protegidos do sistema operacional
exp.emptyDrives	Ocultar unidades vazias
exp.driveLetters	Letras das unidades
exp.ntfsColor	Arquivos compactados e criptografados em cores
exp.mergeAsk	Perguntar antes de mesclar pastas com o mesmo nome
exp.sharingWiz	Assistente de compartilhamento
exp.lnkExt	Extensão .lnk dos atalhos
exp.iconCache	Cache de ícones
exp.iconCache#def	Padrão
exp.iconCache#4096	Grande (4096 ícones)
exp.iconCache#8192	Muito grande (8192 ícones)
exp.thumbClean	Limpeza automática de miniaturas
g.exp.thispc	Pastas em Este Computador
exp.pcDesktop	Área de Trabalho
exp.pcDocs	Documentos
exp.pcDown	Downloads
exp.pcMusic	Músicas
exp.pcPics	Imagens
exp.pcVideos	Vídeos
g.exp.nav	Painel de navegação
exp.navHome	Início
exp.navGallery	Galeria
exp.navLibs	Bibliotecas
exp.navExpand	Expandir até a pasta aberta
exp.navAll	Mostrar todas as pastas
exp.navCloud	Status de sincronização sempre visível
exp.navDupDrives	Unidades removíveis duplicadas
g.exp.dev	Dispositivos
exp.autoplay	Reprodução Automática
exp.lighting	Iluminação dinâmica
exp.lightingApp	Apps em primeiro plano controlam os LEDs
exp.printer	O Windows escolhe a impressora padrão
exp.pwdless	Entrada automática em Contas de Usuário
g.task.start	Menu Iniciar
task.allApps	Exibição de Todos os apps
task.allApps#cat	Por categoria
task.allApps#grid	Grade
task.allApps#list	Lista
task.recentApps	Apps adicionados recentemente
task.frequentApps	Apps mais usados
task.recentDocs	Arquivos recomendados e abertos recentemente
task.startLock	Bloquear no menu da conta
g.task.bar	Barra de tarefas
task.autoHide	Ocultar automaticamente a barra de tarefas
task.badges	Selos nos ícones
task.flashing	Ícones piscando
task.allDisplays	Barra em todos os monitores
task.mmMode	Botões em outros monitores
task.mmMode#all	Em todas as barras
task.mmMode#main	Barra principal e onde está aberta
