g.exp.desk	Значки рабочего стола
exp.icoPc	Этот компьютер на рабочем столе
exp.icoBin	Корзина на рабочем столе
exp.icoUser	Папка пользователя на рабочем столе
exp.icoCpl	Панель управления на рабочем столе
exp.icoNet	Сеть на рабочем столе
exp.lnkSuffix	Имя новых ярлыков
exp.lnkSuffix#keep	С «- ярлык»
exp.lnkSuffix#drop	Без суффикса
exp.lnkArrow	Стрелка на ярлыках
exp.lnkArrow#show	Видна
exp.lnkArrow#hide	Скрыта
g.exp.ctx	Контекстное меню
exp.ctxTerminal	Открыть в Терминале
exp.ctxOwner	Стать владельцем
exp.ctxSfc	Проверка системных файлов (SFC)
exp.ctxDism	Восстановить образ Windows (DISM)
exp.ctxExt	Показать или скрыть расширения
g.exp.gen	Общие
exp.recent	Недавние файлы на главной
exp.frequent	Часто используемые папки на главной
exp.office	Файлы с Office.com на главной
exp.syncAds	Уведомления облачных служб в Проводнике
exp.sepProc	Папки в отдельном процессе
exp.persist	Открывать папки заново при входе
exp.checkSel	Флажки для выбора элементов
exp.menus	Всегда показывать строку меню
exp.compact	Компактный вид
exp.fullPath	Полный путь в заголовке
exp.statusBar	Строка состояния
exp.infoTip	Описание при наведении
exp.folderSize	Размер папки в описании
exp.preview	Просмотр в области просмотра
exp.iconsOnly	Только значки, без эскизов
exp.typeOverlay	Значок программы на эскизах
exp.superHidden	Защищённые системные файлы
exp.emptyDrives	Скрывать пустые диски
exp.driveLetters	Буквы дисков
exp.ntfsColor	Сжатые и зашифрованные файлы цветом
exp.mergeAsk	Спрашивать перед слиянием одноимённых папок
exp.sharingWiz	Мастер общего доступа
exp.lnkExt	Расширение .lnk у ярлыков
exp.iconCache	Кэш значков
exp.iconCache#def	По умолчанию
exp.iconCache#4096	Большой (4096 значков)
exp.iconCache#8192	Очень большой (8192 значка)
exp.thumbClean	Автоочистка эскизов
g.exp.thispc	Папки в «Этот компьютер»
exp.pcDesktop	Рабочий стол
exp.pcDocs	Документы
exp.pcDown	Загрузки
exp.pcMusic	Музыка
exp.pcPics	Изображения
exp.pcVideos	Видео
g.exp.nav	Область навигации
exp.navHome	Главная
exp.navGallery	Коллекция
exp.navLibs	Библиотеки
exp.navExpand	Разворачивать до открытой папки
exp.navAll	Показывать все папки
exp.navCloud	Состояние синхронизации всегда видно
exp.navDupDrives	Дубли съёмных дисков
g.exp.dev	Устройства
exp.autoplay	Автозапуск
exp.lighting	Динамическая подсветка
exp.lightingApp	Активные приложения управляют подсветкой
exp.printer	Windows выбирает принтер по умолчанию
exp.pwdless	Автовход в «Учётные записи пользователей»
g.task.start	Меню «Пуск»
task.allApps	Вид «Все приложения»
task.allApps#cat	По категориям
task.allApps#grid	Сетка
task.allApps#list	Список
task.recentApps	Недавно добавленные приложения
task.frequentApps	Часто используемые приложения
task.recentDocs	Рекомендуемые и недавние файлы
task.startLock	«Заблокировать» в меню учётной записи
g.task.bar	Панель задач
task.autoHide	Автоматически скрывать панель задач
task.badges	Значки-счётчики
task.flashing	Мигающие значки
task.allDisplays	Панель на всех дисплеях
task.mmMode	Кнопки на других дисплеях
task.mmMode#all	На всех панелях
task.mmMode#main	Главная панель и там, где открыто
task.mmMode#open	Только там, где открыто
task.share	Демонстрация окна с панели
task.cornerDesk	Угол для показа рабочего стола
task.combine	Группировать кнопки
task.combine#always	Всегда, скрывать подписи
task.combine#full	При заполнении панели
task.combine#never	Никогда
task.combineMm	Группировать на других дисплеях
task.combineMm#always	Всегда, скрывать подписи
task.combineMm#full	При заполнении панели
task.combineMm#never	Никогда
task.small	Маленькие кнопки
task.small#always	Всегда
task.small#full	При заполнении панели
task.small#never	Никогда
task.copilot	Кнопка Copilot
task.bell	Колокольчик уведомлений
task.hover	Задержка предпросмотра
task.hover#1	Мгновенно
task.hover#100	Быстро (100 мс)
task.hover#200	Средне (200 мс)
task.hover#def	По умолчанию (400 мс)
g.notif.toast	Уведомления
notif.toast	Уведомления приложений
notif.sound	Звук уведомлений
notif.lock	Уведомления на экране блокировки
notif.lockVoip	Напоминания и звонки на экране блокировки
g.notif.tips	Советы Windows
notif.welcome	Знакомство после обновлений
notif.scoobe	Предложения завершить настройку
notif.tipsUse	Советы при работе с Windows
g.notif.sys	Системные уведомления
notif.capAccess	Уведомление при использовании микрофона или местоположения
notif.startupApp	Уведомление о новых приложениях автозапуска
notif.locPrompt	Уведомление при запросе местоположения
notif.dst	Уведомление о переводе часов
notif.secMaint	Безопасность и обслуживание
notif.defender	Уведомления «Безопасности Windows»
g.notif.sound	Звуки
notif.bootSound	Звук запуска Windows
notif.ducking	Во время звонков
notif.ducking#mute	Отключать другие звуки
notif.ducking#80	Приглушать другие звуки на 80%
notif.ducking#50	Приглушать другие звуки на 50%
notif.ducking#none	Ничего не делать
notif.voiceAct	Голосовая активация приложений
notif.accSounds	Звуки включения спецвозможностей
notif.accWarn	Предупреждающие звуки спецвозможностей
g.notif.access	Сочетания спецвозможностей
notif.filterKeys	Фильтрация ввода (правый Shift 8 секунд)
notif.toggleKeys	Озвучивание переключения (Num Lock 5 секунд)
notif.mouseKeys	Управление указателем с клавиатуры (Alt+Shift+Num Lock)
