lblSubtitle	Windows optimization and control — PcFixPro Italia
tabPerf	Performance
tabPrivacy	Privacy
tabUi	Interface
tabNet	Network
tabStorage	Storage
ttlLatency	LATENCY AND SCHEDULING
chkMMCSS	MMCSS — gaming and audio responsiveness
chkPriority	CPU scheduling — foreground priority (0x26)
chkKernelMem	Kernel memory — disable executive paging
chkKernelDpc	Kernel and DPC latency
chkTimer	System timer — precision policy
chkPowerThrottling	Power throttling — disable
chkUSBSuspend	USB selective suspend — disable
chkNtfsPerf	NTFS — disable last access time, large cache
ttlRam	MEMORY
chkRamTweak	SvcHost split threshold (based on RAM)
lblRamInstalled	Installed RAM:
lblRamHint	Detected automatically at startup; can be changed manually.
ttlGraphics	GRAPHICS AND GAMING
chkGameMode	Game Mode — enable
chkFSO	Fullscreen optimizations (FSO) — disable
chkGameDVR	Game DVR and Xbox recording — disable
chkHAGS	Hardware-accelerated GPU scheduling — enable
chkVisualFX	Visual effects — adjust for best performance
chkApplyMPO	Apply Multiplane Overlay (MPO) setting
mpoOn	Enabled (Windows default)
mpoOff	Disabled (fixes stutter and flicker)
mpoCompat	Enabled, compatible (2 planes)
ttlRisky	ADVANCED — THESE REDUCE SECURITY
lblRiskyHint	Excluded from «Select all». Enable only if you know the consequences.
chkVBS	VBS / Memory integrity — disable
chkMitigations	System exploit mitigations — disable
tabPower	Power
tabGpu	Graphics
ttlPlans	POWER PLANS
btnRefreshPlans	Refresh
btnRemoveTestPlans	Remove test plans
ttlSleep	SLEEP AND SAVING
lblSleepHint	These are applied with the Apply button.
ttlPlanWarn	BEFORE YOU TRY
lblPlanWarn	The plans under «To test» come from third parties. Try one at a time and go back to Balanced if the computer becomes unstable.
ttlGpuDetected	DETECTED CARD
btnDetectGpu	Refresh
lblGpuHint	This trims the driver already installed: telemetry, extra services and menu entries.
ttlGpuCommon	COMMON SETTINGS
chkGpuTdr	TDR — raise the driver timeout to 10 s
chkGpuMsi	MSI interrupts for the graphics card — enable
ttlNvidia	NVIDIA
lblNvidiaHint	Skipped if the card is not NVIDIA.
chkNvTelemetry	NVIDIA telemetry — disable
chkNvGfe	GeForce Experience in background — disable
chkNvPerfMode	GPU power management — maximum performance
chkNvUpdates	NVIDIA driver update check — disable
ttlAmd	AMD RADEON
lblAmdHint	Skipped if the card is not AMD.
chkAmdUx	AMD User Experience Program — disable
chkAmdBloat	AMD services and auto-start entries — disable
ttlIntelGpu	INTEL GRAPHICS
chkIntelBloat	Intel Graphics extra services — disable
lblUiScale	Interface scale
ttlShader	SHADER CACHE
lblShaderHint	Shaders already compiled by games. Clearing frees space and fixes artifacts after a driver change. The first launch of each game will be slower, then back to normal.
btnShaderScan	Measure used space
btnShaderClear	Clear shader cache
ttlStart	START MENU
chkStartMorePins	More room for pins, less for recommendations
chkStartHideRec	«Recommended» section — hide
chkStartNoWeb	Recommended websites in Start — remove
chkStartNoAccount	Account notifications in Start — remove
ttlFeat	HIDDEN FEATURES
lblFeatHint	Turn a Windows feature on or off by its numeric id, the same way ViVeTool does. The ids change with every build: take them from a source that matches yours.
featOn	Enable
featOff	Disable
featReset	Back to default
lblFeatId	Feature id
btnFeatApply	Apply
btnFeatList	List active changes
chkFastStartup	Fast startup — disable
chkHibernation	Hibernation — disable (frees space on C:)
chkS0Sleep	Network connectivity in modern standby — disable
chkS3Sleep	Classic S3 sleep — force
ttlTelemetry	TELEMETRY AND TRACKING
chkTelemetry	Telemetry and DiagTrack — disable
chkTelemetryTasks	Telemetry scheduled tasks — disable
chkActivityHistory	Activity history — disable
chkLocationTracking	Location tracking — disable
chkAdvertisingID	Advertising ID — disable
chkTailoredExp	Tailored experiences — disable
chkFeedback	Feedback requests — disable
chkErrorReporting	Windows error reporting — disable
