# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
L|tabPriv2|Privacy avanzata|Advanced privacy|Privacidad avanzada|Erweiterter Datenschutz|Confidentialité avancée|Prywatność zaawansowana|Privacidade avançada|Confidențialitate avansată|Расширенная приватность
L|tabExp|Esplora file|File Explorer|Explorador de archivos|Datei-Explorer|Explorateur de fichiers|Eksplorator plików|Explorador de Arquivos|Explorer fișiere|Проводник
L|tabTask|Start e barra|Start and taskbar|Inicio y barra|Start und Taskleiste|Démarrer et barre|Start i pasek|Iniciar e barra|Start și bară|Пуск и панель задач
L|tabNotif|Notifiche e suoni|Notifications and sounds|Notificaciones y sonidos|Benachrichtigungen und Töne|Notifications et sons|Powiadomienia i dźwięki|Notificações e sons|Notificări și sunete|Уведомления и звуки
L|tabGame|Giochi ed effetti|Games and effects|Juegos y efectos|Spiele und Effekte|Jeux et effets|Gry i efekty|Jogos e efeitos|Jocuri și efecte|Игры и эффекты
L|tabWin|Windows e servizi|Windows and services|Windows y servicios|Windows und Dienste|Windows et services|Windows i usługi|Windows e serviços|Windows și servicii|Windows и службы
L|tabApps|App e software|Apps and software|Apps y software|Apps und Software|Applications et logiciels|Aplikacje i programy|Apps e software|Aplicații și software|Приложения и программы
L|navGrpSystem|SISTEMA|SYSTEM|SISTEMA|SYSTEM|SYSTÈME|SYSTEM|SISTEMA|SISTEM|СИСТЕМА
L|navGrpPrivacy|PRIVACY|PRIVACY|PRIVACIDAD|DATENSCHUTZ|CONFIDENTIALITÉ|PRYWATNOŚĆ|PRIVACIDADE|CONFIDENȚIALITATE|ПРИВАТНОСТЬ
L|navGrpCustom|PERSONALIZZA|CUSTOMIZE|PERSONALIZAR|ANPASSEN|PERSONNALISER|PERSONALIZACJA|PERSONALIZAR|PERSONALIZARE|НАСТРОЙКА
L|navGrpWindows|WINDOWS E APP|WINDOWS AND APPS|WINDOWS Y APPS|WINDOWS UND APPS|WINDOWS ET APPS|WINDOWS I APLIKACJE|WINDOWS E APPS|WINDOWS ȘI APLICAȚII|WINDOWS И ПРИЛОЖЕНИЯ
L|ttlNvProfile|NVIDIA: PRESTAZIONI DEL PROFILO|NVIDIA: PROFILE PERFORMANCE|NVIDIA: RENDIMIENTO DEL PERFIL|NVIDIA: PROFILLEISTUNG|NVIDIA : PERFORMANCES DU PROFIL|NVIDIA: WYDAJNOŚĆ PROFILU|NVIDIA: DESEMPENHO DO PERFIL|NVIDIA: PERFORMANȚA PROFILULUI|NVIDIA: ПРОИЗВОДИТЕЛЬНОСТЬ ПРОФИЛЯ
L|lblNvProfileHint|Scritte nel profilo globale del driver, come nel Pannello di controllo NVIDIA.|Written to the driver's global profile, as in the NVIDIA Control Panel.|Se escriben en el perfil global del controlador, como en el Panel de control de NVIDIA.|Werden ins globale Treiberprofil geschrieben, wie in der NVIDIA-Systemsteuerung.|Écrits dans le profil global du pilote, comme dans le Panneau de configuration NVIDIA.|Zapisywane w globalnym profilu sterownika, jak w Panelu sterowania NVIDIA.|Gravadas no perfil global do driver, como no Painel de Controle NVIDIA.|Scrise în profilul global al driverului, ca în Panoul de control NVIDIA.|Записываются в глобальный профиль драйвера, как в панели управления NVIDIA.
L|chkNvP2|CUDA: niente stato P2 forzato|CUDA: no forced P2 state|CUDA: sin estado P2 forzado|CUDA: kein erzwungener P2-Zustand|CUDA : pas d'état P2 forcé|CUDA: bez wymuszonego stanu P2|CUDA: sem estado P2 forçado|CUDA: fără stare P2 forțată|CUDA: без принудительного P2
L|chkNvDrsPower|Gestione energia: prestazioni massime|Power management: maximum performance|Administración de energía: máximo rendimiento|Energieverwaltung: maximale Leistung|Gestion de l'alimentation : performances maximales|Zarządzanie energią: maksymalna wydajność|Gerenciamento de energia: desempenho máximo|Gestionare energie: performanță maximă|Управление питанием: максимальная производительность
