g.exp.desk	Ikony pulpitu
exp.icoPc	Ten komputer na pulpicie
exp.icoBin	Kosz na pulpicie
exp.icoUser	Folder użytkownika na pulpicie
exp.icoCpl	Panel sterowania na pulpicie
exp.icoNet	Sieć na pulpicie
exp.lnkSuffix	Nazwa nowych skrótów
exp.lnkSuffix#keep	Z «- Skrót»
exp.lnkSuffix#drop	Bez przyrostka
exp.lnkArrow	Strzałka na ikonach skrótów
exp.lnkArrow#show	Widoczna
exp.lnkArrow#hide	Ukryta
g.exp.ctx	Menu kontekstowe
exp.ctxTerminal	Otwórz w Terminalu
exp.ctxOwner	Przejmij na własność
exp.ctxSfc	Sprawdź pliki systemowe (SFC)
exp.ctxDism	Napraw obraz Windows (DISM)
exp.ctxExt	Pokaż lub ukryj rozszerzenia
g.exp.gen	Ogólne
exp.recent	Ostatnie pliki na stronie głównej
exp.frequent	Częste foldery na stronie głównej
exp.office	Pliki z Office.com na stronie głównej
exp.syncAds	Komunikaty usług chmurowych w Eksploratorze
exp.sepProc	Foldery w osobnym procesie
exp.persist	Otwieraj foldery ponownie po zalogowaniu
exp.checkSel	Pola wyboru do zaznaczania elementów
exp.menus	Zawsze pokazuj pasek menu
exp.compact	Widok kompaktowy
exp.fullPath	Pełna ścieżka na pasku tytułu
exp.statusBar	Pasek stanu
exp.infoTip	Opis po najechaniu
exp.folderSize	Rozmiar folderu w opisie
exp.preview	Podgląd w okienku podglądu
exp.iconsOnly	Tylko ikony, bez miniatur
exp.typeOverlay	Ikona programu na miniaturach
exp.superHidden	Chronione pliki systemu operacyjnego
exp.emptyDrives	Ukryj puste dyski
exp.driveLetters	Litery dysków
exp.ntfsColor	Pliki skompresowane i zaszyfrowane w kolorze
exp.mergeAsk	Pytaj przed scaleniem folderów o tej samej nazwie
exp.sharingWiz	Kreator udostępniania
exp.lnkExt	Rozszerzenie .lnk skrótów
exp.iconCache	Pamięć podręczna ikon
exp.iconCache#def	Domyślna
exp.iconCache#4096	Duża (4096 ikon)
exp.iconCache#8192	Bardzo duża (8192 ikon)
exp.thumbClean	Automatyczne czyszczenie miniatur
g.exp.thispc	Foldery w Ten komputer
exp.pcDesktop	Pulpit
exp.pcDocs	Dokumenty
exp.pcDown	Pobrane
exp.pcMusic	Muzyka
exp.pcPics	Obrazy
exp.pcVideos	Wideo
g.exp.nav	Okienko nawigacji
exp.navHome	Strona główna
exp.navGallery	Galeria
exp.navLibs	Biblioteki
exp.navExpand	Rozwiń do otwartego folderu
exp.navAll	Pokaż wszystkie foldery
exp.navCloud	Stan synchronizacji zawsze widoczny
exp.navDupDrives	Zduplikowane dyski wymienne
g.exp.dev	Urządzenia
exp.autoplay	Autoodtwarzanie
exp.lighting	Oświetlenie dynamiczne
exp.lightingApp	Aplikacje na pierwszym planie sterują diodami
exp.printer	Windows wybiera drukarkę domyślną
exp.pwdless	Automatyczne logowanie w Kontach użytkowników
g.task.start	Menu Start
task.allApps	Widok Wszystkie aplikacje
task.allApps#cat	Według kategorii
task.allApps#grid	Siatka
task.allApps#list	Lista
task.recentApps	Ostatnio dodane aplikacje
task.frequentApps	Najczęściej używane aplikacje
task.startLock	Zablokuj w menu konta
g.task.bar	Pasek zadań
task.autoHide	Automatycznie ukrywaj pasek zadań
task.badges	Plakietki na ikonach
task.flashing	Migające ikony
task.allDisplays	Pasek na wszystkich ekranach
task.mmMode	Przyciski na innych ekranach
task.mmMode#all	Na wszystkich paskach
task.mmMode#main	Główny pasek i tam, gdzie otwarte
task.mmMode#open	Tylko tam, gdzie otwarte
task.share	Udostępnij okno z paska
task.cornerDesk	Róg do pokazania pulpitu
task.combine	Łącz przyciski
task.combine#always	Zawsze, ukryj etykiety
task.combine#full	Gdy pasek jest pełny
task.combine#never	Nigdy
task.combineMm	Łącz na innych ekranach
task.combineMm#always	Zawsze, ukryj etykiety
task.combineMm#full	Gdy pasek jest pełny
task.combineMm#never	Nigdy
task.small	Małe przyciski
task.small#always	Zawsze
task.small#full	Gdy pasek jest pełny
task.small#never	Nigdy
task.copilot	Przycisk Copilot
task.bell	Dzwonek powiadomień
task.hover	Opóźnienie podglądu
task.hover#1	Natychmiast
task.hover#100	Szybko (100 ms)
task.hover#200	Średnio (200 ms)
task.hover#def	Domyślnie (400 ms)
g.notif.toast	Powiadomienia
notif.toast	Powiadomienia aplikacji
notif.sound	Dźwięk powiadomień
notif.lock	Powiadomienia na ekranie blokady
notif.lockVoip	Przypomnienia i połączenia na ekranie blokady
g.notif.tips	Sugestie Windows
notif.welcome	Prezentacja po aktualizacjach
notif.scoobe	Zaproszenia do dokończenia konfiguracji
notif.tipsUse	Porady podczas korzystania z Windows
g.notif.sys	Komunikaty systemowe
notif.capAccess	Komunikat, gdy aplikacja używa mikrofonu lub lokalizacji
